Date;Bâtiment Maupertuis;Bâtiment Bibliothèque Universitaire;IUP Pelvoux;Bâtiment IUT Romero;IUT Rostand;Bâtiment IBGBI;Bâtiment Premiers Cycles;Bâtiment Facteur Cheval;Bâtiment Ile-de-France;IUT Brétigny
2023-06-23;4867.625;2483.041667;1222.541667;852.25;70.875;2025.416667;2533.458333;399.583333;1738.916667;709.041667
2023-06-25;4226.875;626.291667;895.583333;592.958333;76.666667;1395.333333;1364.625;316.083333;1513.625;462.083333
2023-06-29;4828.541667;1950.708333;1236.875;820.791667;70.166667;1935.416667;2483.0;384.416667;1877.416667;687.583333
2023-07-04;4362.958333;1718.0;1083.583333;710.416667;67.875;1805.333333;2028.0;366.5;1793.541667;545.291667
2023-07-06;4589.625;1422.916667;984.166667;737.208333;67.833333;1991.375;2110.0;371.125;1796.916667;525.458333
2023-07-08;4117.541667;889.208333;874.375;576.583333;71.958333;1195.041667;1244.708333;348.416667;1675.166667;396.625
2023-07-10;4720.25;1419.041667;1088.625;758.041667;72.625;1603.583333;1846.583333;413.666667;1819.708333;531.625
2023-07-18;4561.291667;2101.75;1053.291667;715.25;73.375;1780.916667;1815.0;340.791667;1833.75;464.583333
2023-07-20;3858.166667;2058.791667;680.375;729.5;71.166667;1679.416667;1318.333333;367.708333;1680.958333;466.166667
2023-07-25;3723.916667;1220.125;621.708333;559.625;68.375;1631.875;1261.875;305.875;1617.583333;363.166667
2023-08-03;3522.916667;924.291667;568.333333;455.583333;72.5;1676.458333;1195.291667;290.375;1542.375;350.5
